MFonMB,Subj,Choice
2.3649,113,1
-3.6351,113,0
-0.63515,113,0
-2.6351,113,1
-4.6351,113,1
-3.6351,113,0
3.3649,113,0
-1.6351,113,0
-1.6351,113,1
0.36485,113,0
-0.63515,113,1
4.3649,113,1
3.3649,113,0
-1.6351,114,1
5.3649,114,1
-3.6351,114,1
-3.6351,114,0
-2.6351,114,0
-1.6351,114,0
-1.6351,114,1
-3.6351,114,0
-0.63515,114,1
1.3649,114,1
2.3649,114,1
1.3649,114,1
1.3649,114,0
1.3649,116,0
0.36485,116,1
4.3649,116,0
3.3649,116,1
3.3649,116,1
0.36485,116,1
1.3649,116,1
2.3649,116,1
1.3649,116,0
2.3649,116,1
4.3649,116,1
-2.6351,116,1
4.3649,116,1
5.3649,116,1
3.3649,118,0
-1.6351,118,1
-2.6351,118,0
3.3649,118,0
4.3649,118,0
3.3649,118,1
2.3649,118,0
-0.63515,118,0
-0.63515,118,0
-3.6351,118,0
